Actual (mm),Predicted (mm)
68.4,82.61827
-732.4999999999999,-739.2534
-1411.2,-1400.2373
-1679.3,-1671.1307
-1391.2000000000003,-1372.4727
-722.7,-770.51495
34.9,43.20889
839.3,880.6288
1502.8,1518.4282
1778.0,1793.8246
1652.1999999999998,1634.3408
1097.1,1150.4877
377.09999999999997,403.67062
-439.7,-471.7121
-1192.9,-1222.7551
-1666.3,-1684.1976
-1567.1,-1598.4631
-1015.5,-1051.8551
-296.99999999999994,-297.62262
539.8,526.0431
1284.8999999999999,1293.4133
1712.8000000000002,1711.4869
1728.9,1717.8599
1336.7,1336.7651
663.1,699.2012
-147.10000000000002,-134.84131
-977.7,-970.09515
-1593.3,-1609.1381
-1707.3,-1744.0193
-1279.6,-1281.6678
-593.4000000000001,-601.3096
180.60000000000002,218.17554
1034.8,1024.6078
1612.2,1616.4006
1783.1,1783.6538
1551.1,1533.6177
958.0999999999999,993.5993
210.2,223.37321
-612.7,-638.0904
-1327.7,-1355.5016
-1618.3000000000002,-1708.9424
-1362.7,-1397.5299
-734.0,-766.5345
15.599999999999996,27.896286
853.9,860.7119
1568.3,1539.6233
1890.4,1883.1992
1798.4000000000003,1774.0682
1282.4,1299.0814
590.8,583.64294
-265.7,-258.87335
-1076.3,-1084.7261
-1608.5,-1661.5376
-1613.8999999999999,-1665.55
-1089.0,-1146.938
-423.0,-388.05545
361.3,417.66092
1158.5,1155.9161
1682.0,1650.3352
1751.1000000000001,1746.6666
1405.3,1431.5282
820.2,818.35516
59.699999999999896,55.859356
-738.1,-753.499
-1348.3,-1400.7014
-1528.7,-1571.0361
-1108.5,-1170.4822
-464.3,-459.82504
299.59999999999997,341.66956
1140.4999999999998,1118.6492
1758.2999999999997,1714.5463
1985.4,1948.8987
1764.0,1747.3812
1193.2,1214.3856
463.4,458.181
-380.2,-399.2842
-1140.4,-1170.7245
-1605.6999999999998,-1639.1742
-1512.7,-1549.185
-1011.9,-1013.20966
-369.5999999999999,-314.46515
383.6,440.2155
1138.1,1128.3226
1559.5,1571.454
1599.8000000000002,1582.3191
1231.9,1246.681
649.8000000000001,646.30164
-61.5,-89.12231
-781.8,-807.0772
-1302.8,-1334.0199
-1354.9,-1374.2028
-913.3,-922.9525
-280.5,-259.95667
440.8,487.36627
1196.1999999999998,1191.3159
1725.3,1688.2437
1857.3999999999999,1855.284
1581.8000000000002,1579.0035
1000.8,1031.5681
302.0,289.936
-510.0,-520.0931
-1203.8,-1234.5778
-1584.8999999999999,-1603.6814
-1460.1,-1437.5762
-986.8,-957.37885
-384.1,-324.09753
362.4,370.00708
1044.7,1045.2283
1430.8000000000002,1443.0281
1410.4,1423.7026
1070.7,1053.1401
551.4,508.4666
-106.29999999999993,-134.84326
-772.3,-764.8779
-1190.6000000000001,-1217.761
-1163.3,-1178.6906
-724.8,-715.72144
-135.8,-100.58044
567.8,574.0394
1279.7999999999997,1239.0405
1756.1,1710.146
1871.8,1832.165
1585.3999999999999,1542.5055
1051.7,1021.1
382.29999999999995,346.63977
-384.0,-389.28635
-1039.1,-1067.0391
-1399.3,-1434.6746
-1268.7,-1289.9443
-859.2,-828.25305
-327.29999999999995,-266.55844
352.5999999999999,359.81625
956.6,976.3111
1321.5,1327.3949
1293.1999999999998,1317.6285
983.7,988.2372
499.3999999999999,477.33298
-110.69999999999989,-129.66795
-680.1999999999999,-707.87445
-1066.8999999999999,-1055.4115
-1051.2999999999997,-1010.3764
-655.7,-624.6294
-123.20000000000002,-83.936455
530.4,523.3219
1172.3,1149.4517
1642.8999999999999,1583.7793
1738.6,1720.7443
1495.5,1447.1921
1003.3000000000001,971.1701
368.5,351.3902
-331.9,-351.1315
-962.5,-965.9097
-1315.3,-1332.8402
-1219.0,-1220.9521
-896.2,-819.9725
-385.79999999999995,-353.05118
212.4,228.9589
823.3000000000001,813.1298
1197.2,1196.1929
1199.0,1229.2701
945.2,947.0654
506.1,492.39972
-24.70000000000001,-70.17779
-570.5,-576.87616
-987.1999999999999,-935.98535
-1018.6999999999998,-971.4007
-671.0,-649.0198
-186.6,-154.96727
407.2,418.3988
1026.2,1008.0526
1479.2,1444.268
1626.8999999999999,1610.8588
1411.1,1396.1819
989.0,949.7133
385.90000000000003,383.38266
-261.0,-291.50095
-905.6999999999999,-875.6769
-1284.7,-1290.119
-1260.2,-1248.955
-950.4,-910.89703
-479.19999999999993,-445.01083
109.89999999999999,100.02233
700.4,704.8424
1097.3999999999999,1102.2284
1177.8,1167.2738
977.0,959.3291
569.2000000000002,565.66986
65.4,31.256239
-528.4000000000001,-478.23312
-977.1,-943.988
-1061.3,-1049.1803
-788.9000000000002,-746.01013
-329.79999999999995,-300.56778
255.1,274.5596
869.5,871.81256
1385.3999999999999,1347.8999
1595.5,1580.8395
1438.1,1436.4705
1062.0,1022.4182
502.09999999999997,479.76215
-168.1,-163.12392
-799.0,-807.97906
-1257.6000000000001,-1242.424
-1269.8,-1303.9403
-978.3,-962.9064
-534.4,-485.70972
34.9999999999999,39.80758
643.2,631.8069
1081.9,1078.2372
1242.8999999999999,1206.8182
1056.2,1050.9574
707.6,667.64923
183.29999999999998,178.24535
-409.6,-380.14093
-910.4,-885.1068
-1043.1,-1075.6555
-789.9000000000001,-798.18945
-380.7999999999999,-328.34406
202.8,216.93166
883.6999999999999,814.356
1366.4,1368.7065
1662.9999999999998,1619.4359
1545.3,1529.6459
1136.8,1155.1506
631.4,560.4222
-62.0,-45.619576
-723.7,-727.13635
-1207.6,-1216.1674
-1306.1000000000001,-1315.6995
-969.3000000000001,-1025.3176
-517.6999999999999,-490.3933
77.3,67.13389
683.6999999999999,695.56396
1176.3999999999999,1147.8456
1358.3,1313.389
1181.3,1167.9596
789.4,775.49274
238.60000000000002,230.99068
-375.0,-378.65802
-884.3,-899.4144
-1098.1000000000001,-1087.4712
-851.0,-871.4038
-354.9,-385.016
245.5999999999999,256.11597
889.3000000000001,897.602
1465.7,1412.615
1741.3000000000002,1714.2606
1647.1,1605.7377
1219.7,1240.5142
642.5,622.4527
-44.099999999999895,-65.7767
-722.7,-747.3084
-1224.0999999999997,-1231.8759
-1300.8999999999999,-1325.3667
-926.8,-996.7452
-417.7,-422.46545
195.6,206.84041
849.4,852.6881
1329.0,1304.3502
1485.1000000000001,1445.9502
1229.1000000000001,1260.437
787.5,781.4349
182.1999999999999,166.19908
-470.2,-484.84467
-1006.8,-1020.35
-1204.2,-1196.078
-931.9,-932.2563
-408.6,-420.6162
245.3999999999999,238.65477
939.6999999999999,935.1191
1505.9,1483.8651
1723.3,1742.5525
1587.5,1576.4412
1143.7,1153.0
538.1,522.0465
-169.09999999999988,-197.0989
-888.7,-860.32306
-1301.7,-1364.8887
-1283.0,-1320.4863
-868.6,-902.4627
-318.2999999999999,-306.52097
351.7,360.15723
1069.0000000000002,1002.4006
1495.5,1475.1433
1542.1000000000001,1555.5621
1227.0,1256.9198
700.0999999999999,706.3789
34.9999999999999,14.911918
-688.3000000000001,-668.3043
-1220.3,-1245.5625
-1373.6999999999998,-1364.4756
-1011.4000000000001,-1027.8582
-475.4,-438.93677
182.0,225.42076
881.0,911.1444
1419.8999999999999,1428.319
1590.3,1622.5775
1390.9,1416.702
902.5999999999999,937.14703
266.0,273.0533
-457.5999999999999,-476.41818
-1098.3,-1106.6409
-1425.1000000000001,-1446.4298
-1260.6999999999998,-1270.2539
-760.1999999999999,-777.8184
-130.4,-129.79387
549.5,577.5125
1211.8,1188.4329
1506.6999999999998,1541.8818
1463.3999999999999,1471.7247
1074.2,1096.7251
464.8,495.2518
-221.59999999999997,-256.51233
-904.2,-913.1028
-1346.7,-1379.4905
-1295.8,-1347.1304
-888.8000000000001,-876.5971
-283.3,-279.18805
419.20000000000005,419.46976
1086.3,1096.2081
1517.0,1526.5354
1598.7999999999997,1591.8127
1287.1,1303.15
744.1,754.9995
23.599999999999998,63.59137
-665.6,-717.70605
-1227.0,-1275.125
-1383.3,-1429.3531
-1084.4,-1079.3457
-513.2,-528.51227
147.79999999999998,158.54039
855.1999999999999,874.50256
1389.2,1411.9939
1602.0,1604.9827
1403.6,1431.7721
929.6999999999999,962.5052
299.09999999999997,299.09317
-418.1,-445.08398
-1009.5,-1071.6141
-1346.4,-1352.6693
-1152.9,-1186.7175
-649.9,-666.8148
-26.799999999999997,-17.47213
647.1,677.91064
1236.4,1268.8458
1559.6000000000001,1563.7354
1518.8999999999999,1508.7089
1093.2,1152.5223
523.5000000000001,522.2608
-158.0,-201.81743
-805.5,-847.1109
-1210.6,-1284.76
-1194.3,-1215.2473
-737.6,-796.81696
-136.9,-166.69864
554.2,538.17847
1199.6,1199.194
1598.5,1592.1577
1637.0,1648.1405
1289.7,1323.6838
715.3,745.8104
38.1,17.488466
-661.3,-697.5292
-1168.1999999999998,-1243.4655
-1309.6000000000001,-1325.1099
-966.9,-990.8997
-427.4,-425.9738
194.4999999999999,240.0515
860.6,897.5707
1354.4,1376.9271
1535.9,1532.6938
1354.7,1349.1505
857.7999999999998,913.60944
265.0,255.25629
-390.6,-445.2436
-919.1,-991.6064
-1155.2,-1176.6167
-910.9000000000001,-932.66986
-394.4999999999999,-430.23013
224.8,231.54199
880.5,900.98285
1437.4,1426.9525
1683.5999999999997,1687.404
1567.3,1559.5312
1100.1999999999998,1165.468
513.2,507.84662
-170.6,-217.13315
-787.5,-851.7197
-1156.6000000000001,-1229.9148
-1086.9,-1120.1058
-683.6,-690.66315
-150.79999999999998,-134.99858
454.8999999999999,488.9451
1058.4,1059.6268
1413.6,1415.334
1438.1999999999998,1437.9148
1126.7,1163.0454
635.1999999999999,633.42145
28.400000000000002,-10.02899
-567.6,-605.0794
-979.4000000000001,-1037.5316
-1025.7999999999995,-1031.255
-631.0,-680.331
-93.19999999999989,-121.9447
511.59999999999997,521.63
1143.6,1124.5527
1541.5,1542.6962
1664.4,1636.734
1404.6,1399.2567
869.4,913.3344
276.0,248.81195
-363.9,-436.90366
-898.9,-943.6745
-1110.5,-1143.1423
-924.0,-897.97125
-507.70000000000005,-491.78375
1.5000000000000007,43.890606
579.9000000000001,601.99365
1099.8000000000002,1100.7327
1363.3,1342.864
1278.2,1284.0736
902.5999999999999,971.33026
407.9,401.0363
-136.6,-215.73064
-642.4,-686.4855
-934.9,-934.43713
-807.8,-819.05316
-397.6,-425.52826
143.5,129.83717
693.8000000000001,723.15094
1171.3,1221.1292
1476.2,1480.3796
1444.3999999999999,1441.1348
1068.7,1149.4127
572.8,579.57654
9.499999999999897,-57.752426
-583.7,-608.5738
-990.6,-1024.8735
-1089.6,-1050.9852
-839.7,-809.77954
-414.5999999999999,-405.85413
85.7,119.321625
606.6,641.03204
1015.3000000000001,1037.9695
1155.4,1157.5702
994.8000000000001,1014.132
660.9000000000001,648.7124
192.1,176.55847
-283.6999999999999,-327.41373
-696.0,-700.5733
-811.2,-828.4762
-544.4,-591.25604
-141.2,-144.2318
354.9,375.96866
860.5,896.7115
1297.1999999999998,1265.6685
1488.3000000000002,1467.1874
1357.6999999999998,1345.595
960.0,989.48346
442.3,444.3671
-108.20000000000002,-169.07791
-634.3,-679.0808
-947.8,-990.40424
-928.5,-922.7762
-663.7,-640.094
-254.0,-252.57869
212.5999999999999,252.48239
694.5,708.00464
1012.5,1022.19104
1100.6,1067.9634
872.4000000000001,923.0558
523.4,516.62274
75.7,46.528404
-358.59999999999997,-394.64764
-656.6,-685.82074
-656.4,-682.9718
-370.5,-377.69647
-9.599999999999905,49.052177
508.1,474.11823
955.5,972.3322
1272.6000000000001,1289.6547
1385.3,1349.9402
1136.1000000000001,1200.6536
732.3000000000001,757.48303
270.9,226.09383
-289.0,-299.49234
-745.1000000000001,-760.02545
-974.1999999999999,-968.20026
-923.0,-854.84625
-659.5,-614.1575
-249.10000000000002,-256.71548
184.6,234.33203
602.9,648.66614
837.9,887.95264
845.0,841.3097
632.1999999999999,678.9745
267.6,305.4874
-138.5,-157.34862
-518.1,-530.88446
-732.9,-728.61444
-683.3000000000001,-659.5771
-386.7,-374.39734
2.3999999999999027,41.387608
465.9,475.69754
902.4,911.49146
1172.1,1196.7892
1213.1000000000001,1208.5659
989.0,1018.3331
625.1,607.01385
129.6999999999999,153.00249
-386.7,-396.66748
-813.9,-820.81
-1009.4000000000001,-999.6597
-886.9,-874.4563
-629.1999999999999,-581.7923
-246.7,-223.62787
217.6,228.5462
642.7,656.40063
889.6999999999999,895.79645
857.0,877.13605
627.4,675.00867
313.40000000000003,281.51532
-92.4,-107.297714
-442.90000000000003,-461.33276
-649.6,-651.4554
-543.4,-577.5546
-251.9,-246.9458
137.8,174.32187
590.5,587.98444
1006.1999999999999,985.9404
1302.3999999999999,1254.6385
1336.1000000000001,1281.7256
1113.8999999999999,1103.8778
756.4,707.7025
279.1,265.79514
-210.9,-246.15744
-639.2,-649.2602
-788.8,-853.9782
-614.2,-684.7021
-385.7,-350.4542
-29.300000000000004,-5.4373302
409.5,382.33377
820.3,786.72375
1004.0,997.9701
1014.3,968.3284
772.1,794.7998
466.8,413.57962
78.60000000000001,35.279095
-310.2,-299.2444
-561.0,-541.6113
-489.2999999999999,-551.1882
-228.7,-237.76207
137.4,153.36469
565.2,551.3733
981.6,953.38245
1299.0,1224.9683
1344.6,1294.1029
1134.0,1140.9302
778.0,752.20044
302.4,301.34543
-202.7,-219.52917
-613.0,-640.6896
-772.5000000000001,-819.5079
-649.2,-654.24115
-348.0,-371.93005
5.6000000000000005,38.40908
474.9,434.2224
890.1,864.133
1106.7,1072.0881
1056.4,1055.6578
795.3,827.33466
411.0,408.4435
-58.60000000000001,-65.86286
-508.60000000000014,-490.05896
-756.9,-781.44763
-667.6,-714.4257
-369.7,-378.85037
20.400000000000002,54.884083
537.9,492.18893
1008.6999999999999,980.0432
1333.3,1285.4037
1327.7,1342.2316
1046.2,1113.8693
625.6999999999999,629.9534
68.7,83.18867
-500.90000000000003,-502.84286
-978.8,-952.47595
-1160.8,-1127.9875
-1001.3000000000001,-961.5569
-669.6999999999999,-621.4106
-178.4,-192.35345
341.3,349.0851
805.9,823.1083
1044.3,1064.6924
980.6,990.3312
718.8,727.1241
271.1,304.2807
-269.5999999999999,-219.0801
-752.5999999999999,-726.4678
-1039.6000000000001,-997.16516
-935.3000000000001,-941.51526
-567.6999999999999,-566.5196
-55.09999999999991,-68.44434
537.6,504.91785
1085.0,1064.0776
1403.8,1415.802
1383.8999999999999,1424.5475
1063.0,1111.7375
562.5,571.4631
-24.299999999999905,-51.756813
-654.6,-661.4455
-1176.9,-1144.6017
-1328.5,-1332.2188
-1036.1999999999998,-1095.99
-546.1,-600.8478
48.4999999999999,11.348651
678.4,664.00604
1176.7,1167.5493
1383.8999999999999,1361.7793
1240.0,1217.562
871.3,842.0908
305.20000000000005,309.90936
-321.5,-329.74396
-856.8999999999999,-887.89886
-1140.3000000000002,-1147.1708
-952.0999999999999,-994.0718
-503.7000000000001,-518.6747
82.19999999999999,69.05164
764.3,712.10956
1362.3,1309.3999
1665.8000000000002,1657.197
1603.6999999999998,1604.2318
1188.3999999999999,1236.0995
614.0,613.44257
-66.69999999999999,-95.94781
-777.7,-775.8448
-1253.6999999999998,-1303.3331
-1294.8,-1359.7184
-914.4,-971.0542
-363.0,-383.45804
300.19999999999993,299.2716
997.9,961.7378
1473.8,1445.5209
1602.4,1575.9241
1308.6,1351.9766
783.6999999999999,817.9176
129.8,124.25204
-598.2,-597.1746
-1162.8,-1201.9459
-1417.4,-1381.5835
-1121.3000000000002,-1137.986
-550.3,-577.83636
141.0,123.65947
884.2,878.05585
1489.7,1475.7649
1734.1000000000001,1737.7998
1562.3,1589.4905
1040.3,1113.2648
372.3999999999999,390.45044
-411.2999999999999,-427.16852
-1118.8000000000002,-1136.2439
-1568.3,-1569.2765
-1512.5,-1490.1091
-987.3,-1034.3497
-325.2,-333.0907
450.5,434.9427
1215.1999999999998,1162.8059
1652.1,1628.5688
1682.9999999999998,1665.9686
1289.5,1320.9163
657.5,689.18164
-110.19999999999987,-112.78514
-932.6000000000001,-898.932
-1531.3000000000002,-1539.5205
-1662.6000000000001,-1677.4891
-1283.0,-1252.0488
-639.5,-629.0568
125.4,137.53558
939.0,947.2316
1531.1999999999998,1533.4797
1709.0,1729.7742
1455.0,1491.127
879.3,935.4959
167.3,163.89177
-648.9,-659.69403
-1346.7,-1359.8394
-1665.6,-1695.3188
-1417.8000000000002,-1434.8394
-796.4000000000001,-832.3652
-32.300000000000004,-50.402977
817.5000000000002,797.5191
1567.9,1507.8187
1906.9,1887.2168
1798.8,1797.8176
1291.6000000000001,1302.3945
572.6,584.4468
-278.4,-286.1049
-1139.5,-1110.845
-1708.3999999999999,-1735.7141
-1732.4,-1786.2964
-1230.0,-1263.4973
-547.5,-525.53015
294.00000000000006,286.93216
1144.1,1115.0616
1666.9,1667.3333
1786.3,1760.9548
1451.6,1464.7383
842.9,861.466
65.3,65.122574
-746.1,-777.6614
-1402.8,-1435.7683
-1574.2,-1656.6307
-1184.8000000000002,-1223.0776
-507.59999999999997,-513.76025
307.40000000000003,319.1219
1191.8999999999999,1155.9363
1846.1000000000001,1785.5441
2051.4,2046.1239
1798.8,1813.1537
1217.3,1226.56
442.3,447.55243
-502.5999999999999,-452.50732
-1289.6000000000001,-1345.5891
-1810.6,-1817.3611
-1768.4,-1754.5188
-1189.2,-1232.4843
-515.7000000000002,-456.1413
339.8,339.3493
1114.6,1141.931
1566.1000000000001,1593.4078
1619.8,1587.4025
1223.5,1234.6886
615.3000000000001,612.18243
-145.9,-155.30894
-952.6,-930.6674
-1534.5,-1515.7211
-1614.5,-1603.1814
-1153.5,-1133.6764
-444.79999999999995,-428.0374
409.6999999999999,410.18552
1255.4,1237.465
1798.5,1803.2982
1924.3,1950.7458
1606.3,1633.8917
980.0,1011.3989
165.1,204.35399
-723.5,-724.6842
-1469.4,-1503.9854
-1853.3,-1868.3412
-1674.3,-1648.8124
-1109.8,-1086.939
-395.2,-353.7103
452.6,452.5497
1221.8,1200.4009
1612.1000000000001,1611.2848
1558.1999999999998,1554.858
1138.0,1117.4875
500.4000000000001,487.36673
-272.2,-283.37347
-1026.4,-1035.4877
-1485.5,-1532.6709
-1429.8999999999999,-1454.0137
-914.5,-905.71436
-224.00000000000003,-180.81647
559.1999999999999,603.62897
1361.0,1324.1896
1833.2,1811.1742
1864.2,1896.345
1503.8,1511.7844
821.0000000000001,878.32623
29.8,47.460484
-826.9,-832.0408
-1545.3,-1543.2258
-1834.5,-1850.7031
-1616.2,-1553.1117
-1072.0,-1017.4946
-345.7,-332.40125
472.0,465.43988
1157.6,1171.3207
1482.3999999999999,1510.9454
1377.3,1381.0479
969.6,937.40045
380.7999999999999,347.06506
-368.9,-354.0356
-1040.2000000000003,-1050.8385
-1408.1,-1425.3165
-1283.1999999999998,-1268.0123
-759.5,-732.98773
-96.9,-41.554886
669.5,691.3303
1373.3,1368.9845
1770.3,1781.3024
1772.3,1783.734
1377.5999999999997,1383.9572
758.1999999999999,755.39246
12.3,0.33403823
-797.6,-796.4207
-1441.7,-1449.8466
-1707.8999999999999,-1701.3585
-1461.3,-1422.2366
-975.4000000000001,-911.02704
-310.2,-292.45132
425.09999999999997,435.594
1060.8,1065.4233
1345.6999999999998,1384.141
1287.8,1244.0381
971.7,886.17523
472.7,402.11755
-165.8,-174.7633
-744.9,-750.6058
-1028.2000000000003,-1090.1256
-891.2000000000002,-896.9387
-381.40000000000003,-416.44296
213.60000000000002,256.34644
929.1,907.20386
1573.1999999999996,1493.1064
1930.3999999999999,1913.4225
1954.5,1836.4945
1587.2,1511.8793
1035.6000000000001,945.4509
373.8,304.33655
-346.4,-378.40005
-908.4999999999999,-960.7042
-1125.3,-1204.6431
-913.0,-940.69543
-498.9,-494.20663
104.6,50.383106
789.6,721.6342
1353.1,1302.7848
1664.0,1570.806
1602.6000000000001,1534.2886
1249.2,1215.9269
792.6999999999999,675.3888
183.29999999999998,107.62091
-355.5,-438.64893
-698.5,-741.3592
-655.2,-673.8736
-249.79999999999995,-298.4345
232.4,276.34915
869.5999999999999,813.1802
1479.0,1369.9355
1829.2,1782.9893
1869.3999999999999,1757.6819
1557.0,1507.9889
1081.0,986.6155
437.0,421.03128
-258.1,-256.37964
-832.0999999999999,-835.38586
-1153.7,-1095.3396
-976.6,-990.1271
-594.3,-583.28394
-108.69999999999987,-72.57575
527.1,493.1941
1077.3,1066.672
1392.9,1357.723
1350.8,1343.2885
1058.8999999999999,1048.5443
642.5,562.47754
114.1,38.858646
-451.1,-421.3877
-820.2,-786.7517
-778.5,-802.87476
-432.8,-429.7713
32.4999999999999,77.98701
620.7,604.3362
1206.8000000000002,1164.5275
1608.6,1562.2212
1715.7,1651.0449
1442.8000000000002,1437.3136
983.3,956.32275
384.6,373.52597
-279.1,-289.44653
-885.4,-860.4919
-1184.7,-1199.3619
-1061.8000000000002,-1071.1268
-705.1999999999999,-674.59875
-208.9,-199.04636
401.1,381.23492
981.6,950.2819
1320.5,1295.0518
1328.7,1310.1641
1056.8,1043.4535
680.8,577.3785
133.39999999999998,95.95597
